frame_idx,ms,Pelvis_x,Pelvis_y,Pelvis_z,L5_x,L5_y,L5_z,L3_x,L3_y,L3_z,T12_x,T12_y,T12_z,T8_x,T8_y,T8_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,RightShoulder_x,RightShoulder_y,RightShoulder_z,RightUpperArm_x,RightUpperArm_y,RightUpperArm_z,RightForeArm_x,RightForeArm_y,RightForeArm_z,RightHand_x,RightHand_y,RightHand_z,LeftShoulder_x,LeftShoulder_y,LeftShoulder_z,LeftUpperArm_x,LeftUpperArm_y,LeftUpperArm_z,LeftForeArm_x,LeftForeArm_y,LeftForeArm_z,LeftHand_x,LeftHand_y,LeftHand_z,RightUpperLeg_x,RightUpperLeg_y,RightUpperLeg_z,RightLowerLeg_x,RightLowerLeg_y,RightLowerLeg_z,RightFoot_x,RightFoot_y,RightFoot_z,RightToe_x,RightToe_y,RightToe_z,LeftUpperLeg_x,LeftUpperLeg_y,LeftUpperLeg_z,LeftLowerLeg_x,LeftLowerLeg_y,LeftLowerLeg_z,LeftFoot_x,LeftFoot_y,LeftFoot_z,LeftToe_x,LeftToe_y,LeftToe_z
2016,1575718892285,0.075375,0.086501,0.929137,0.073395,0.086896,1.029729,0.080629,0.087805,1.140738,0.075858,0.087417,1.242186,0.06994,0.086749,1.343459,0.074722,0.087076,1.484334,0.100208,0.091674,1.585497,0.07585,0.057297,1.422239,0.084517,-0.079842,1.40394,0.132398,-0.140287,1.12234,0.153227,-0.101544,0.886168,0.069363,0.116571,1.422325,0.049161,0.25276,1.406147,0.078177,0.296611,1.118953,0.113004,0.26394,0.883513,0.081811,0.004727,0.929484,0.053555,-0.002168,0.502358,0.025237,-0.00857,0.085315,0.180388,0.014513,0.020025,0.068946,0.168274,0.928564,0.031279,0.162429,0.50215,0.004683,0.157236,0.084977,0.15913,0.180861,0.018228
2017,1575718892289,0.075318,0.086541,0.929137,0.073323,0.086935,1.029728,0.080546,0.087842,1.140739,0.075765,0.087448,1.242186,0.069841,0.086771,1.343459,0.074614,0.087087,1.484334,0.100116,0.09169,1.585493,0.07575,0.057315,1.422235,0.084524,-0.079813,1.403902,0.133473,-0.141115,1.122676,0.154535,-0.10193,0.886599,0.069252,0.116588,1.422325,0.049062,0.25278,1.406153,0.078828,0.297534,1.119184,0.11388,0.264457,0.883837,0.081766,0.004768,0.929485,0.053549,-0.002137,0.502357,0.025233,-0.008565,0.085314,0.180386,0.014516,0.020027,0.068876,0.168314,0.928564,0.031265,0.162443,0.502145,0.004683,0.157238,0.084971,0.15913,0.180866,0.018222
2018,1575718892293,0.075258,0.086581,0.929139,0.073248,0.086974,1.02973,0.080459,0.087877,1.140741,0.07567,0.087476,1.242188,0.069739,0.086791,1.34346,0.074505,0.087096,1.484335,0.100024,0.091705,1.58549,0.075649,0.057331,1.422232,0.084531,-0.079787,1.403872,0.134568,-0.141956,1.123035,0.155898,-0.102341,0.887055,0.069138,0.116603,1.422327,0.04896,0.252799,1.406172,0.079495,0.298491,1.119439,0.114809,0.265005,0.88419,0.08172,0.004809,0.929487,0.053539,-0.002105,0.502357,0.02523,-0.008559,0.085313,0.180385,0.014519,0.020029,0.068803,0.168352,0.928565,0.031252,0.162457,0.502141,0.004684,0.157241,0.084967,0.15913,0.180873,0.018217
2019,1575718892297,0.075197,0.086621,0.929141,0.073169,0.087013,1.029732,0.080368,0.087912,1.140744,0.07557,0.087503,1.242191,0.069634,0.086809,1.343462,0.074396,0.087102,1.484337,0.099933,0.091717,1.585487,0.075544,0.057345,1.422232,0.084541,-0.079762,1.403847,0.135689,-0.142809,1.12341,0.157319,-0.102769,0.88753,0.069021,0.116616,1.422331,0.048855,0.252816,1.406201,0.080189,0.299478,1.119715,0.115788,0.265578,0.884568,0.081674,0.00485,0.929489,0.053527,-0.002071,0.502357,0.025227,-0.008552,0.085313,0.180383,0.014523,0.020032,0.068726,0.168391,0.928567,0.031238,0.16247,0.502139,0.004684,0.157243,0.084963,0.159129,0.18088,0.018213
2020,1575718892301,0.075133,0.086662,0.929145,0.073087,0.087051,1.029735,0.080273,0.087945,1.140748,0.075468,0.087529,1.242194,0.069527,0.086826,1.343465,0.074285,0.087106,1.484341,0.099842,0.091726,1.585485,0.075437,0.057357,1.422232,0.084553,-0.07974,1.403828,0.136832,-0.143675,1.123803,0.158794,-0.103213,0.888024,0.068902,0.116627,1.422337,0.048748,0.252833,1.406239,0.080907,0.300494,1.120011,0.116814,0.266177,0.884969,0.081628,0.004892,0.929492,0.053513,-0.002035,0.502358,0.025223,-0.008544,0.085314,0.180381,0.014527,0.020035,0.068645,0.168431,0.928571,0.031224,0.162484,0.502137,0.004685,0.157245,0.084961,0.159129,0.180889,0.018209
2021,1575718892306,0.075068,0.086702,0.929149,0.073002,0.087088,1.029739,0.080175,0.087978,1.140753,0.075362,0.087554,1.242199,0.069417,0.08684,1.34347,0.074173,0.087109,1.484345,0.099751,0.091734,1.585484,0.075328,0.057367,1.422235,0.084565,-0.079719,1.403815,0.137994,-0.144552,1.124213,0.160317,-0.103674,0.888539,0.068781,0.116636,1.422344,0.048638,0.252849,1.406287,0.081643,0.30154,1.120326,0.117886,0.266801,0.885396,0.08158,0.004934,0.929496,0.053497,-0.001998,0.50236,0.02522,-0.008536,0.085316,0.180379,0.014531,0.020039,0.068562,0.168469,0.928576,0.03121,0.162497,0.502137,0.004686,0.157247,0.08496,0.159128,0.180898,0.018206
2022,1575718892310,0.075,0.086742,0.929155,0.072914,0.087125,1.029744,0.080074,0.08801,1.140758,0.075253,0.087577,1.242204,0.069304,0.086854,1.343475,0.074059,0.08711,1.48435,0.099659,0.091741,1.585484,0.075217,0.057376,1.422238,0.084577,-0.0797,1.403806,0.13917,-0.14544,1.124639,0.161885,-0.10415,0.889073,0.068658,0.116644,1.422354,0.048525,0.252864,1.406343,0.082392,0.302614,1.120662,0.119,0.267453,0.885847,0.081532,0.004975,0.929501,0.053479,-0.001961,0.502363,0.025216,-0.008527,0.085318,0.180377,0.014536,0.020043,0.068475,0.168508,0.928582,0.031196,0.16251,0.502137,0.004688,0.157249,0.084959,0.159127,0.180907,0.018203
2023,1575718892314,0.074931,0.086781,0.929161,0.072824,0.08716,1.02975,0.079971,0.088041,1.140765,0.075143,0.087599,1.24221,0.06919,0.086866,1.343481,0.073945,0.08711,1.484356,0.099566,0.091747,1.585484,0.075105,0.057385,1.422244,0.084588,-0.079681,1.403802,0.140358,-0.14634,1.125083,0.163493,-0.104641,0.889628,0.068533,0.116651,1.422364,0.048408,0.252879,1.406405,0.083151,0.303716,1.121016,0.120156,0.268132,0.886325,0.081482,0.005015,0.929506,0.05346,-0.001923,0.502366,0.025213,-0.008518,0.08532,0.180375,0.014541,0.020048,0.068387,0.168545,0.92859,0.031182,0.162522,0.502138,0.004689,0.157251,0.084959,0.159126,0.180917,0.018201
2024,1575718892318,0.07486,0.086818,0.929168,0.072732,0.087194,1.029756,0.079866,0.08807,1.140773,0.07503,0.08762,1.242218,0.069075,0.086878,1.343488,0.073829,0.087111,1.484363,0.099473,0.091754,1.585485,0.074992,0.057393,1.42225,0.084598,-0.079664,1.403802,0.141552,-0.147249,1.125544,0.165135,-0.105147,0.890204,0.068406,0.116658,1.422375,0.048287,0.252894,1.406474,0.083913,0.304846,1.121389,0.121349,0.26884,0.886828,0.081432,0.005054,0.929512,0.053441,-0.001886,0.502369,0.02521,-0.008509,0.085323,0.180374,0.014546,0.020053,0.068296,0.168581,0.928598,0.031167,0.162535,0.50214,0.004691,0.157252,0.08496,0.159126,0.180927,0.0182
2025,1575718892322,0.074788,0.086854,0.929175,0.072638,0.087226,1.029764,0.079759,0.088098,1.140781,0.074916,0.087641,1.242225,0.068958,0.086889,1.343495,0.073712,0.087112,1.484371,0.099378,0.091761,1.585487,0.074878,0.057402,1.422258,0.084605,-0.079647,1.403806,0.14275,-0.148169,1.126021,0.166807,-0.105669,0.8908,0.068278,0.116665,1.422387,0.048161,0.252908,1.406547,0.084675,0.306003,1.121781,0.122579,0.269578,0.887359,0.08138,0.005092,0.929518,0.053422,-0.00185,0.502374,0.025207,-0.0085,0.085327,0.180372,0.014551,0.020058,0.068203,0.168615,0.928607,0.031153,0.162547,0.502142,0.004692,0.157255,0.084962,0.159125,0.180937,0.018199
